Model,Final Train IoU,Final Val IoU,IoU Gap,Final Train Acc,Final Val Acc,Acc Gap
U-Net (ResNet34),0.22515235890870827,0.17266717326019618,0.052485185648512095,0.8700798175953053,0.8212796537964432,0.048800163798862095
DeepLabV3+,0.6520795668392472,0.3162738838300134,0.33580568300923375,0.9530415901770959,0.8690434495608012,0.08399814061629474
SAM,0.11219151274105339,0.1184035684154866,-0.006212055674433212,0.8115508704664605,0.7888213905370292,0.022729479929431307
U-Net (No Aug),0.21216707875693344,0.14643434199649946,0.06573273676043398,0.8804861215444711,0.826698261278647,0.05378786026582416
