Model,IoU,Accuracy,Training Time (min),Parameters
U-Net (ResNet34 + Aug),0.17266717326019618,0.8212796537964432,3.5927712082862855,24439269
"U-Net (ResNet34, No Aug)",0.14643434199649946,0.826698261278647,2.1754542509714763,24439269
U-Net (ResNet18 + Aug),0.13191667385218797,0.8010328500359146,1.7015254100163777,14331109
