Model,Mean IoU,Mean Dice,Pixel Accuracy,Mean HD95
DeepLabV3+,0.433016986513907,0.4889324216831512,0.8715153367306705,42.88016871193658
U-Net (ResNet34),0.26711763224854657,0.3010906436594062,0.8221693441901409,49.38815151347074
U-Net (ResNet18),0.20731548599481875,0.23523956237850047,0.8018609705105634,56.27221808081385
U-Net (No Aug),0.17833068441359762,0.20154262969933368,0.8272896350269586,53.61760814735763
SAM,0.1184035684154866,0.11248338999471227,0.7888213905370292,
